team_abbr,position,slot,status,candidates,note
DEN,RB,RB1,contested,J.K. Dobbins|RJ Harvey|Jonah Coleman,Split backfield trio; losers slot RB2
DEN,TE,TE1,settled,Evan Engram,Only relevant fantasy TE
DET,QB,QB1,settled,Jared Goff,Clear starter
DET,WR,WR1,settled,Amon-Ra St. Brown,Clear WR1
DET,WR,WR2,settled,Jameson Williams,High-end WR2
DET,WR,WR3,settled,Isaac TeSlaa,WR3
DET,RB,RB1,settled,Jahmyr Gibbs,Clear RB1
DET,RB,RB2,settled,Isiah Pacheco,Split possible
DET,TE,TE1,settled,Sam LaPorta,WR3-level target share
GB,QB,QB1,settled,Jordan Love,Clear starter
GB,WR,WR1,open,Christian Watson|Jayden Reed|Matthew Golden,No true alpha; shared top-two; losers slot WR2
GB,RB,RB1,contested,Josh Jacobs|MarShawn Lloyd|Chris Brooks|Kaleb Johnson,Jacobs on exempt list; Lloyd lean if out; Brooks/Kaleb next; vet add possible; losers slot RB2
GB,TE,TE1,settled,Tucker Kraft,WR-like TE usage
HOU,QB,QB1,settled,C.J. Stroud,Prove-it year
HOU,WR,WR1,settled,Nico Collins,Clear WR1
HOU,WR,WR2,open,Kayshon Boutte|Tank Dell|Xavier Hutchinson|Jaylin Noel,Higgins out ACL; Boutte acquired from NE; losers slot WR3
HOU,WR,WR4,contested,Jared Wayne,Bubble WR; WR2 fallout fills WR3
HOU,RB,RB1,contested,David Montgomery|Woody Marks,Montgomery vs Marks; losers slot RB2
HOU,TE,TE1,settled,Dalton Schultz,Clear TE1
IND,QB,QB1,settled,Daniel Jones,Clear starter; Richardson depth/injury only
IND,WR,WR1,contested,Alec Pierce|Josh Downs,Pierce lean WR1; losers slot WR2
IND,WR,WR2,settled,Josh Downs,High-volume WR2
IND,RB,RB1,settled,Jonathan Taylor,Clear RB1
IND,RB,RB2,settled,DJ Giddens,Handcuff
IND,TE,TE1,settled,Tyler Warren,TE volume ~ WR1/WR2
JAX,QB,QB1,settled,Trevor Lawrence,Clear QB1
JAX,WR,WR1,open,Brian Thomas Jr.|Jakobi Meyers|Travis Hunter|Parker Washington,Wide-open starting reps; no locked 1/2/3; losers slot WR2
JAX,RB,RB1,contested,Bhayshul Tuten|Chris Rodriguez Jr.,Rodriguez coach chemistry; losers slot RB2
JAX,TE,TE1,settled,Brenton Strange,Clear TE1
KC,QB,QB1,contested,Patrick Mahomes|Justin Fields,Fields may open year if Mahomes hurt; losers slot QB2
KC,WR,WR1,settled,Rashee Rice,Suspension/legal risk
KC,WR,WR2,settled,Xavier Worthy,WR2
KC,WR,WR3,contested,Tyquan Thornton|Jalen Royals,Royals year two; Thornton WR3 lean; losers slot WR4
KC,RB,RB1,settled,Kenneth Walker III,Heavy workload expected
KC,TE,TE1,settled,Travis Kelce,WR2-level volume
LV,QB,QB1,contested,Kirk Cousins|Fernando Mendoza,Cousins opens; Mendoza future; losers slot QB2
LV,WR,WR1,contested,Tre Tucker|Jack Bech,Tucker lean; Bech path to WR1; losers slot WR2
LV,WR,WR3,contested,Jalen Nailor|Dont'e Thornton Jr.,Nailor/Thornton chase WR2 behind Tucker; losers slot WR4
LV,RB,RB1,settled,Ashton Jeanty,Clear RB1; ankle sprain watch
LV,RB,RB2,settled,Mike Washington Jr.,Next up if Jeanty misses time
LV,TE,TE1,settled,Brock Bowers,WR1-level target competition
LAC,QB,QB1,settled,Justin Herbert,Clear QB1
LAC,WR,WR1,settled,Ladd McConkey,Clear WR1
LAC,WR,WR2,contested,Quentin Johnston|Tre Harris,WR2 battle; losers slot WR3
LAC,WR,WR4,contested,Brenen Thompson|KeAndre Lambert-Smith,WR3/WR4; losers slot WR5
LAC,RB,RB1,settled,Omarion Hampton,Clear RB1
LAC,RB,RB2,contested,Kimani Vidal|Keaton Mitchell,Useful RB2 in offense; losers slot RB3
LAC,TE,TE1,contested,Oronde Gadsden|David Njoku,Starter battle; losers slot TE2
LAR,QB,QB1,settled,Matthew Stafford,Ty Simpson future; no 2026 competition
LAR,WR,WR1,settled,Puka Nacua,Clear WR1
LAR,WR,WR2,settled,Davante Adams,High-tier WR2
LAR,WR,WR3,contested,Jordan Whittington|Konata Mumpfield|CJ Daniels,Low-volume WR3; losers slot WR4
LAR,RB,RB1,settled,Kyren Williams,Clear RB1
LAR,RB,RB2,settled,Blake Corum,Goal-line handcuff
LAR,TE,TE1,settled,Colby Parkinson,Low fantasy volume; Higbee/Ferguson blocking-first
MIA,QB,QB1,settled,Malik Willis,Named Week 1 starter; McCord backup; Ewers traded away
MIA,WR,WR1,open,Malik Washington|Chris Bell|Caleb Douglas,Washington pushes for alpha; Bell/Douglas rookies; losers slot WR2
MIA,WR,WR3,contested,Jalen Tolbert|Kevin Coleman Jr.,WR3 tier after top-three fallout; losers slot WR4
MIA,WR,WR5,contested,Tutu Atwell,Atwell WR4/5 with WR3 fallout
MIA,RB,RB1,settled,De'Von Achane,Clear RB1
MIA,RB,RB2,contested,Jaylen Wright|Ollie Gordon II,High-capital backups; losers slot RB3
MIA,TE,TE1,settled,Greg Dulcich,Clear TE1
MIN,QB,QB1,contested,Kyler Murray|J.J. McCarthy,Murray expected starter; losers slot QB2
MIN,WR,WR1,settled,Justin Jefferson,Elite WR1
MIN,WR,WR2,settled,Jordan Addison,WR2
MIN,WR,WR3,contested,Jauan Jennings|Tai Felton,Felton camp push; losers slot WR4
MIN,RB,RB1,contested,Aaron Jones Sr.|Jordan Mason,RB1a/RB1b; losers slot RB2
MIN,TE,TE1,settled,T.J. Hockenson,Clear TE1
NE,QB,QB1,settled,Drake Maye,Clear starter
NE,WR,WR1,settled,A.J. Brown,New to offense
NE,WR,WR2,open,Romeo Doubs,Boutte traded to HOU; WR2 not locked
NE,RB,RB1,contested,Rhamondre Stevenson|TreVeyon Henderson,Henderson played better late; losers slot RB2
NE,TE,TE1,settled,Hunter Henry,Raridon 3rd round watch
NO,QB,QB1,settled,Tyler Shough,Clear QB1
NO,WR,WR1,settled,Chris Olave,Tyson hamstring ~2 months; Olave WR1
NO,WR,WR2,settled,Jordyn Tyson,Hamstring ~2 months; still the long-term WR2
NO,WR,WR3,contested,Devaughn Vele|Bub Means|Bryce Lance,WR3 battle; losers slot WR4
NO,RB,RB1,contested,Travis Etienne Jr.|Alvin Kamara,Etienne starter; Kamara RB2; losers slot RB2
NO,TE,TE1,settled,Juwan Johnson,Clear TE1
NYG,QB,QB1,settled,Jaxson Dart,Winston backup
NYG,WR,WR1,settled,Malik Nabers,Clear WR1; missed time last year
NYG,WR,WR2,contested,Darius Slayton|Darnell Mooney|Malachi Fields,WR2 battle; losers slot WR3
NYG,WR,WR4,contested,Calvin Austin III,Austin III chases WR4; WR2 fallout fills WR3
NYG,WR,WR5,open,Odell Beckham Jr.|JuJu Smith-Schuster|Isaiah Hodgins|Jalin Hyatt,Roster bubble; may not all make team; losers slot WR6
NYG,RB,RB1,contested,Cam Skattebo|Tyrone Tracy Jr.|Devin Singletary,Possible 3-back committee; losers slot RB2
NYG,TE,TE1,settled,Isaiah Likely,Johnson TE2
NYJ,QB,QB1,contested,Geno Smith|Cade Klubnik|Brady Cook,Klubnik if season sours; losers slot QB2
NYJ,WR,WR1,settled,Garrett Wilson,Clear WR1
NYJ,WR,WR2,contested,Adonai Mitchell|Omar Cooper Jr.,Cooper 1st round; chart may invert; losers slot WR3
NYJ,RB,RB1,settled,Breece Hall,Allen chips work
NYJ,RB,RB2,settled,Braelon Allen,Expanded role possible
NYJ,TE,TE1,contested,Kenyon Sadiq|Mason Taylor,Sadiq lean; also WR usage; losers slot TE2
PHI,QB,QB1,settled,Jalen Hurts,Clear QB1
PHI,WR,WR1,settled,DeVonta Smith,Clear WR1 after Brown to NE
PHI,WR,WR2,settled,Makai Lemon,WR2
PHI,WR,WR3,contested,Dontayvion Wicks|Hollywood Brown,WR3/4; losers slot WR4
PHI,RB,RB1,settled,Saquon Barkley,Clear RB1
PHI,TE,TE1,contested,Dallas Goedert|Eli Stowers,TE volume ~ WR3/4; losers slot TE2
PIT,QB,QB1,settled,Aaron Rodgers,Clear QB1
PIT,QB,QB2,contested,Will Howard|Drew Allar,Developmental future; Rudolph chart QB2; losers slot QB3
PIT,WR,WR1,settled,DK Metcalf,Clear WR1
PIT,WR,WR2,settled,Michael Pittman Jr.,Likely WR2
PIT,WR,WR3,contested,Germie Bernard|Roman Wilson,Bernard may chase WR2 if wins; losers slot WR4
PIT,RB,RB1,settled,Jaylen Warren,Clear RB1
PIT,RB,RB2,contested,Rico Dowdle|Kaleb Johnson,Dowdle change-of-pace; losers slot RB3
PIT,TE,TE1,settled,Pat Freiermuth,Washington hybrid TE2/OL
SF,QB,QB1,settled,Brock Purdy,Mac Jones QB2
SF,WR,WR1,contested,Mike Evans|De'Zhaun Stribling,Pearsall out for season; Stribling camp lean vs Evans; losers slot WR2
SF,WR,WR3,contested,Christian Kirk,Kirk fights for WR2 after WR1 fallout
SF,RB,RB1,settled,Christian McCaffrey,Clear RB1
SF,RB,RB2,contested,Jordan James|Kaelon Black|Isaac Guerendo,Premium handcuff; losers slot RB3
SF,TE,TE1,settled,George Kittle,Clear TE1
SEA,QB,QB1,settled,Sam Darnold,Clear starter
SEA,QB,QB2,contested,Drew Lock|Jalen Milroe,Future starter pipeline; losers slot QB3
SEA,WR,WR1,settled,Jaxon Smith-Njigba,Clear WR1
SEA,WR,WR2,open,Cooper Kupp|Rashid Shaheed|Tory Horton,WR2/3/4 battle behind JSN; losers slot WR3
SEA,RB,RB1,settled,Jadarian Price,Charbonnet on PUP/ACL; Price clear early RB1
SEA,TE,TE1,settled,AJ Barner,Clear TE1
TB,QB,QB1,settled,Baker Mayfield,Clear QB1
TB,WR,WR1,contested,Chris Godwin Jr.|Emeka Egbuka,Egbuka may be true WR1; losers slot WR2
TB,WR,WR3,contested,Jalen McMillan|Tez Johnson|Ted Hurst,Hurst 3rd round upside; losers slot WR4
TB,RB,RB1,settled,Bucky Irving,Likely RB1; Gainwell signed as complement
TB,RB,RB2,settled,Kenneth Gainwell,"Signed as Bucky complement (pass/change-of-pace), not a challenger"
TB,TE,TE1,settled,Cade Otton,Clear TE1
TEN,QB,QB1,settled,Cam Ward,Year two with Daboll
TEN,WR,WR1,settled,Carnell Tate,4th overall pick
TEN,WR,WR2,settled,Wan'Dale Robinson,FA add
TEN,WR,WR3,contested,Calvin Ridley|Elic Ayomanor,Ayomanor year two; losers slot WR4
TEN,RB,RB1,contested,Tony Pollard|Tyjae Spears|Nicholas Singleton,Singleton sneaky push; losers slot RB2
TEN,TE,TE1,settled,Gunnar Helm,Ward connection
WAS,QB,QB1,settled,Jayden Daniels,Mariota insurance
WAS,WR,WR1,settled,Terry McLaurin,Clear WR1
WAS,WR,WR2,settled,Stefon Diggs,Signed; presumed WR2
WAS,WR,WR3,contested,Luke McCaffrey|Antonio Williams,WR3 battle after Diggs; losers slot WR4
WAS,WR,WR5,open,Jaylin Lane,WR4 pool after WR3 fallout
WAS,RB,RB1,contested,Jacory Croskey-Merritt|Rachaad White,Committee history; losers slot RB2
WAS,RB,RB3,contested,Kaytron Allen,Allen 6th round; White cascades from RB1
WAS,TE,TE1,settled,Chig Okonkwo,Clear TE1
